species,Model,AIC,deltaAIC,w
Aricia montensis,Dec_pre,44.96030203268743,0.5577370832940858,0.09815145499049631
Aricia montensis,AprMay,45.44286350107408,1.0402985516807348,0.07710984861210361
Aricia montensis,Oct_pre,45.5191473787305,1.1165824293371571,0.07422411309767707
Aricia montensis,Dec_preJan,46.795581505322666,2.3930165559293215,0.039207655004032956
Aricia montensis,Nov_preDec_pre,46.838460029960885,2.4358950805675406,0.03837601849446855
Aricia montensis,MayJun,47.08223578738817,2.679670837994827,0.033972278962095294
Aricia montensis,MayJunJul,47.215232009952246,2.8126670605589013,0.03178666162794087
Aricia montensis,Jun,47.27211042289545,2.8695454735021073,0.030895407543187224
Aricia montensis,JunJul,47.340528862708936,2.937963913315592,0.029856373354261972
Aricia montensis,Oct_preNov_pre,47.41658061131117,3.014015661917824,0.028742373297784396
Aricia montensis,Nov_preDec_preJan,47.52501563362577,3.122450684232426,0.0272255247798964
Aricia montensis,May,47.623232564256845,3.220667614863501,0.025920819279233114
Aricia montensis,Mar,47.81696725844642,3.4144023090530737,0.023527716033651024
Aricia montensis,Jul,47.87434978132697,3.4717848319336255,0.0228622681006111
Aricia montensis,Apr,47.89237655172022,3.489811602326874,0.022657127565899753
Aricia montensis,JunJulAug,47.94109811882627,3.538533169432924,0.0221118508353765
Aricia montensis,Dec_preJanFeb,48.04193779199354,3.6393728426001957,0.02102461438931576
Aricia montensis,MarAprMay,48.102512282883076,3.6999473334897317,0.020397383231698617
Brintesia circe,MarApr,320.1335750865841,0,0.12851495692921508
Brintesia circe,Mar,320.3348808142759,0.20130572769181754,0.11620924821871706
Brintesia circe,MarAprMay,320.501661921705,0.3680868351209483,0.10691155205710969
Brintesia circe,Jan,321.21687819646013,1.0833031098760557,0.07476828060497652
Brintesia circe,FebMarApr,322.1060001673132,1.9724250807291241,0.04793436855662109
Brintesia circe,AprMay,322.1382361720026,2.0046610854185474,0.047167955408427116
Brintesia circe,Oct_preNov_preDec_pre,322.3562557793311,2.2226806927470193,0.04229652568296825
Brintesia circe,Oct_preNov_pre,322.9863375916183,2.8527625050342067,0.030866271217718202
Brintesia circe,AprMayJun,322.99998379899205,2.8664087124079742,0.030656384303131272
Brintesia circe,JulAugSep,323.2381280070106,3.1045529204264994,0.027215014745053914
Brintesia circe,Sep,323.4932057986978,3.359630712113699,0.02395626647458638
Brintesia circe,Apr,323.5801466563206,3.446571569736534,0.022937187667120426
Brintesia circe,AugSep,323.6331740454303,3.4995989588462066,0.022337029442944637
Brintesia circe,Nov_preDec_preJan,323.70311730217804,3.5695422155939696,0.021569368562591503
Brintesia circe,JulAug,323.9131761549017,3.7796010683176178,0.019418860018793695
Brintesia circe,JunJulAug,324.0781497998934,3.9445747133093505,0.017881344045378
