species,site_id,year,month,day,week,fitted,date,doy,transecto,id_transect,abb_elev,abreviatura,altitud
Aglais urticae,21,2016,4,13,15,0.430732320217763,2016-04-13,104,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2017,3,22,12,1.73544951310888,2017-03-22,81,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2018,6,27,26,13.6265559810469,2018-06-27,178,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2019,4,17,16,0.702281169402331,2019-04-17,107,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2020,4,22,17,0.895703300647427,2020-04-22,113,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2021,3,24,12,2.2649115673266502,2021-03-24,83,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,21,2022,4,27,17,0.659711708436235,2022-04-27,117,Matas Verdes,16_21,MV (1919),MV,1919
Aglais urticae,23,2012,4,11,15,3.48415998696441,2012-04-11,102,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2013,4,24,17,3.54366563290561,2013-04-24,114,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2014,4,2,14,10.4906381823478,2014-04-02,92,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2015,5,20,21,2.71075998230945,2015-05-20,140,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2016,4,13,15,1.26645378642507,2016-04-13,104,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2017,3,22,12,2.30314520280648,2017-03-22,81,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2019,4,17,16,1.71251828814293,2019-04-17,107,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2020,4,22,17,0.480607044232456,2020-04-22,113,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2021,3,24,12,2.69604266529537,2021-03-24,83,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,23,2022,4,27,17,1.59338313683729,2022-04-27,117,Robledal Dílar,16_23,DI (1720),DI,1720
Aglais urticae,24,2012,4,11,15,7.2125555966994,2012-04-11,102,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2013,4,24,17,8.84029974387751,2013-04-24,114,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2014,4,2,14,39.9526527007791,2014-04-02,92,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2015,5,20,21,3.42187460846789,2015-05-20,140,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2016,4,13,15,2.46628222656755,2016-04-13,104,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2017,3,22,12,2.56561793115154,2017-03-22,81,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2018,6,27,26,6.96895304198966,2018-06-27,178,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2019,4,17,16,1.81508944082023,2019-04-17,107,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2020,4,22,17,3.50318429470926,2020-04-22,113,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2021,3,24,12,4.53261000095422,2021-03-24,83,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,24,2022,4,27,17,3.91138878461986,2022-04-27,117,Campos de Otero,16_24,CO (2248),CO,2248
Aglais urticae,32,2013,4,24,17,0.240191848620766,2013-04-24,114,Fabriquilla,16_32,FA (992),FA,992
Aglais urticae,32,2014,4,2,14,0.949912444740022,2014-04-02,92,Fabriquilla,16_32,FA (992),FA,992
Aglais urticae,32,2017,3,22,12,0.896703859188929,2017-03-22,81,Fabriquilla,16_32,FA (992),FA,992
Aglais urticae,33,2012,4,11,15,16.4416991946529,2012-04-11,102,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2013,4,24,17,3.19274054630758,2013-04-24,114,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2014,4,2,14,22.1073509381999,2014-04-02,92,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2016,4,13,15,3.18238043379979,2016-04-13,104,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2017,3,22,12,2.19439006928184,2017-03-22,81,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2019,4,17,16,4.92574452444248,2019-04-17,107,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2020,4,22,17,3.85209839368778,2020-04-22,113,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2021,3,24,12,5.32845662832941,2021-03-24,83,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,33,2022,4,27,17,0.998314145837231,2022-04-27,117,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Aglais urticae,34,2012,4,11,15,3.71152054656265,2012-04-11,102,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2013,4,24,17,1.15200263313832,2013-04-24,114,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2014,4,2,14,9.86214287857272,2014-04-02,92,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2017,3,22,12,0.841238312068626,2017-03-22,81,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2019,4,17,16,1.31267164585449,2019-04-17,107,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2021,3,24,12,1.01420724727315,2021-03-24,83,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,34,2022,4,27,17,0.401622144186321,2022-04-27,117,Catifas,16_34,CAT (1666),CAT,1666
Aglais urticae,35,2012,4,11,15,1.58802679993373,2012-04-11,102,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2013,4,24,17,2.24675467038568,2013-04-24,114,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2014,4,2,14,8.03276481484124,2014-04-02,92,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2016,4,13,15,0.910473787163065,2016-04-13,104,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2017,3,22,12,2.86242478963166,2017-03-22,81,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2019,4,17,16,2.14570812790822,2019-04-17,107,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2021,3,24,12,1.03597202712368,2021-03-24,83,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,35,2022,4,27,17,1.31533502642784,2022-04-27,117,Praillos,16_35,PRA (1894),PRA,1894
Aglais urticae,36,2012,4,11,15,7.96522777179438,2012-04-11,102,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,36,2013,4,24,17,1.87896534204594,2013-04-24,114,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,36,2014,4,2,14,6.84651838454496,2014-04-02,92,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,36,2019,4,17,16,3.05222866754677,2019-04-17,107,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,36,2022,4,27,17,3.10928224687055,2022-04-27,117,Sabinas,16_36,SA (2180),SA,2180
Aglais urticae,37,2013,4,24,17,3.32167347158865,2013-04-24,114,Cauchiles,16_37,CAU (2808),CAU,2808
Aglais urticae,37,2021,3,24,12,4.61062958722768,2021-03-24,83,Cauchiles,16_37,CAU (2808),CAU,2808
Aglais urticae,37,2022,4,27,17,13.3581966811882,2022-04-27,117,Cauchiles,16_37,CAU (2808),CAU,2808
Aglais urticae,38,2012,4,11,15,22.9911584953359,2012-04-11,102,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2013,4,24,17,8.44287319662207,2013-04-24,114,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2014,4,2,14,71.2970277946297,2014-04-02,92,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2016,4,13,15,9.41262008502095,2016-04-13,104,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2017,3,22,12,4.82839358809672,2017-03-22,81,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2020,4,22,17,1.27536132403035,2020-04-22,113,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2021,3,24,12,7.20471563006724,2021-03-24,83,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,38,2022,4,27,17,10.6641099407922,2022-04-27,117,Carihuela,16_38,CAR (3203),CAR,3203
Aglais urticae,45,2014,4,2,14,11.3600718572661,2014-04-02,92,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2015,5,20,21,1.62842641612748,2015-05-20,140,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2016,4,13,15,2.38882343116857,2016-04-13,104,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2017,3,22,12,1.39269064852866,2017-03-22,81,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2018,6,27,26,1.62423534665766,2018-06-27,178,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2019,4,17,16,2.04209996101736,2019-04-17,107,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2020,4,22,17,2.48764967017476,2020-04-22,113,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2021,3,24,12,2.60345131408258,2021-03-24,83,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,45,2022,4,27,17,1.82475260940696,2022-04-27,117,Dúrcal,16_45,DU (1950),DU,1950
Aglais urticae,48,2014,4,2,14,1.55399713347252,2014-04-02,92,Pitres,16_48,PI (1379),PI,1379
Aglais urticae,48,2016,4,13,15,0.649493426448546,2016-04-13,104,Pitres,16_48,PI (1379),PI,1379
Aglais urticae,48,2018,6,27,26,0.375834420242114,2018-06-27,178,Pitres,16_48,PI (1379),PI,1379
Aglais urticae,48,2019,4,17,16,0.771777753286095,2019-04-17,107,Pitres,16_48,PI (1379),PI,1379
Aglais urticae,48,2022,4,27,17,0.502674476781211,2022-04-27,117,Pitres,16_48,PI (1379),PI,1379
Aglais urticae,49,2015,5,20,21,0.28850648989125,2015-05-20,140,Turbera,16_49,TU (745),TU,745
Aglais urticae,49,2017,3,22,12,0.62303267129845,2017-03-22,81,Turbera,16_49,TU (745),TU,745
Aglais urticae,49,2019,4,17,16,0.901502562936983,2019-04-17,107,Turbera,16_49,TU (745),TU,745
Anthocharis cardamines,21,2014,5,7,19,5.91250546093303,2014-05-07,127,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis cardamines,21,2015,5,20,21,1.5268362869211,2015-05-20,140,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis cardamines,21,2017,5,3,18,3.33133784000768,2017-05-03,123,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis cardamines,23,2014,5,7,19,0.918022693119683,2014-05-07,127,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2015,5,20,21,3.09399668572143,2015-05-20,140,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2016,5,4,18,0.994074531656911,2016-05-04,125,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2017,5,3,18,1.10438893619715,2017-05-03,123,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2019,4,10,15,0.740387798266086,2019-04-10,100,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2020,5,20,21,2.00803016454676,2020-05-20,141,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2021,5,12,19,1.33246617857194,2021-05-12,132,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,23,2022,5,25,21,1.29303687029567,2022-05-25,145,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis cardamines,32,2019,4,10,15,0.816218091037386,2019-04-10,100,Fabriquilla,16_32,FA (992),FA,992
Anthocharis cardamines,33,2013,5,8,19,1.96383272437278,2013-05-08,128,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis cardamines,33,2014,5,7,19,1.41400794052367,2014-05-07,127,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis cardamines,33,2016,5,4,18,0.959442619866689,2016-05-04,125,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis cardamines,33,2019,4,10,15,1.46022749976339,2019-04-10,100,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis cardamines,34,2014,5,7,19,0.553142789401941,2014-05-07,127,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis cardamines,34,2016,5,4,18,0.959082645141384,2016-05-04,125,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis cardamines,34,2019,4,10,15,0.362618386372575,2019-04-10,100,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis cardamines,35,2014,5,7,19,1.00483163518378,2014-05-07,127,Praillos,16_35,PRA (1894),PRA,1894
Anthocharis euphenoides,20,2014,5,7,19,0.574343640040742,2014-05-07,127,Purche,16_20,PU (1442),PU,1442
Anthocharis euphenoides,20,2015,5,13,20,1.23866318230156,2015-05-13,133,Purche,16_20,PU (1442),PU,1442
Anthocharis euphenoides,20,2016,5,4,18,1.45852894848283,2016-05-04,125,Purche,16_20,PU (1442),PU,1442
Anthocharis euphenoides,20,2019,5,8,19,0.414786254612912,2019-05-08,128,Purche,16_20,PU (1442),PU,1442
Anthocharis euphenoides,20,2020,5,27,22,1.72288000302926,2020-05-27,148,Purche,16_20,PU (1442),PU,1442
Anthocharis euphenoides,21,2013,5,29,22,0.537724529056101,2013-05-29,149,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis euphenoides,21,2014,5,7,19,1.36243458429822,2014-05-07,127,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis euphenoides,21,2017,5,10,19,1.01838778937031,2017-05-10,130,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis euphenoides,21,2021,5,26,21,0.949587355491703,2021-05-26,146,Matas Verdes,16_21,MV (1919),MV,1919
Anthocharis euphenoides,23,2013,5,29,22,1.31474067912277,2013-05-29,149,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2014,5,7,19,0.788282396794725,2014-05-07,127,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2016,5,4,18,0.732627249206375,2016-05-04,125,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2017,5,10,19,0.997640687756847,2017-05-10,130,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2019,5,8,19,0.632884429611085,2019-05-08,128,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2020,5,27,22,0.846965321799235,2020-05-27,148,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2021,5,26,21,0.574710203868307,2021-05-26,146,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,23,2022,5,4,18,1.36172524858623,2022-05-04,124,Robledal Dílar,16_23,DI (1720),DI,1720
Anthocharis euphenoides,24,2014,5,7,19,0.610212890944247,2014-05-07,127,Campos de Otero,16_24,CO (2248),CO,2248
Anthocharis euphenoides,32,2013,5,29,22,0.648845354298073,2013-05-29,149,Fabriquilla,16_32,FA (992),FA,992
Anthocharis euphenoides,32,2014,5,7,19,0.850683601077063,2014-05-07,127,Fabriquilla,16_32,FA (992),FA,992
Anthocharis euphenoides,32,2016,5,4,18,0.709885779477077,2016-05-04,125,Fabriquilla,16_32,FA (992),FA,992
Anthocharis euphenoides,32,2019,5,8,19,1.8892626474984,2019-05-08,128,Fabriquilla,16_32,FA (992),FA,992
Anthocharis euphenoides,32,2022,5,4,18,1.32419267656735,2022-05-04,124,Fabriquilla,16_32,FA (992),FA,992
Anthocharis euphenoides,33,2019,5,8,19,0.780584254361515,2019-05-08,128,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis euphenoides,33,2020,5,27,22,0.84838718686801,2020-05-27,148,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Anthocharis euphenoides,34,2013,5,29,22,0.301835639436397,2013-05-29,149,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis euphenoides,34,2020,5,27,22,1.2725804289559,2020-05-27,148,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis euphenoides,34,2021,5,26,21,0.815472191713917,2021-05-26,146,Catifas,16_34,CAT (1666),CAT,1666
Anthocharis euphenoides,45,2015,5,13,20,0.867414689582225,2015-05-13,133,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2016,5,4,18,0.690771927356841,2016-05-04,125,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2017,5,10,19,1.42716387880781,2017-05-10,130,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2018,6,6,23,0.74078669878001,2018-06-06,157,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2019,5,8,19,1.95099954371903,2019-05-08,128,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2020,5,27,22,2.81319664981403,2020-05-27,148,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2021,5,26,21,1.64329810222513,2021-05-26,146,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,45,2022,5,4,18,1.46917730770259,2022-05-04,124,Dúrcal,16_45,DU (1950),DU,1950
Anthocharis euphenoides,48,2014,5,7,19,0.373742876169035,2014-05-07,127,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2015,5,13,20,1.46433855334106,2015-05-13,133,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2016,5,4,18,1.8009280116446,2016-05-04,125,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2017,5,10,19,1.08281741744939,2017-05-10,130,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2018,6,6,23,0.801448694466665,2018-06-06,157,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2019,5,8,19,0.906765447344231,2019-05-08,128,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2021,5,26,21,0.904677913425624,2021-05-26,146,Pitres,16_48,PI (1379),PI,1379
Anthocharis euphenoides,48,2022,5,4,18,1.22979331258206,2022-05-04,124,Pitres,16_48,PI (1379),PI,1379
Aporia crataegi,14,2017,6,14,24,1.33056579401032,2017-06-14,165,Laguna seca,16_14,LS (2282),LS,2282
Aporia crataegi,17,2022,6,15,24,1.61742260904736,2022-06-15,166,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Aporia crataegi,18,2012,6,20,25,1.68605940407043,2012-06-20,172,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Aporia crataegi,18,2014,6,11,24,0.937645114862219,2014-06-11,162,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Aporia crataegi,20,2012,6,20,25,39.3240107838195,2012-06-20,172,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2013,6,26,26,39.8666367861839,2013-06-26,177,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2014,6,11,24,14.6220836757045,2014-06-11,162,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2015,6,10,24,6.82892477055134,2015-06-10,161,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2016,6,22,25,6.02035517791139,2016-06-22,174,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2017,6,14,24,2.20412928951588,2017-06-14,165,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2019,6,12,24,3.18289759128538,2019-06-12,163,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2020,6,17,25,6.72137165568755,2020-06-17,169,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,20,2021,6,16,24,4.07630870710856,2021-06-16,167,Purche,16_20,PU (1442),PU,1442
Aporia crataegi,21,2012,6,20,25,10.9545951394744,2012-06-20,172,Matas Verdes,16_21,MV (1919),MV,1919
