species,site_id,mk_tau,mk_pvalue,sen_slope,sen_stats,sen_pvalue,lm_slope,lm_pvalue,lm_rsquared,transecto,id_transect,abb_elev,abreviatura,altitud
Hyponephele lycaon,23,0.1428571492433548,0.7638905048370361,0.6,0.3003757045930553,0.7638905934705397,0.3947368421052714,0.6300113247407326,0.049943274305731825,Robledal Dílar,16_23,DI (1720),DI,1720
Hyponephele lycaon,24,-0.04494665563106537,0.9284440279006958,-0.3333333333333333,-0.08980265101338746,0.928444041500591,-0.08631772268137194,0.9139232315043253,0.0015531902626435968,Campos de Otero,16_24,CO (2248),CO,2248
Hyponephele lycaon,34,0.09759000688791275,0.8792572021484375,0.4,0.15191090506254998,0.8792572071248308,0.1940789473684884,0.8152197167920716,0.01199021769083316,Catifas,16_34,CAT (1666),CAT,1666
Hyponephele lycaon,35,-0.6000000238418579,0.22067134082317352,-2.75,-1.224744871391589,0.2206713619198468,-1.5543478260869519,0.1168502003539259,0.6140103290896003,Praillos,16_35,PRA (1894),PRA,1894
Hyponephele lycaon,45,0.1111111119389534,0.7544541358947754,0.5,0.3127716210856122,0.754454177494089,0.366666666666647,0.7527465797125918,0.015106117353307124,Dúrcal,16_45,DU (1950),DU,1950
Iphiclides feisthamelii,18,0.800000011920929,0.0864107608795166,8.5,1.7146428199482247,0.08641073297370003,3.7835051546391014,0.15729453132884838,0.5398702922832876,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Iphiclides feisthamelii,20,0.3888888955116272,0.17530810832977295,2.685714285714286,1.355343691370986,0.1753080808082735,2.1833333333333327,0.19215958154014676,0.22933315515168567,Purche,16_20,PU (1442),PU,1442
Iphiclides feisthamelii,21,0.2888889014720917,0.2831308841705322,2,1.073312629199899,0.28313087066234666,1.4113865932047533,0.30752807722459125,0.12927127070827577,Matas Verdes,16_21,MV (1919),MV,1919
Iphiclides feisthamelii,23,0.2888889014720917,0.2831308841705322,2,1.073312629199899,0.28313087066234666,1.4113865932047533,0.30752807722459125,0.12927127070827577,Robledal Dílar,16_23,DI (1720),DI,1720
Iphiclides feisthamelii,33,-0.06666666269302368,1,-1.5,-0,1,0.18750000000007927,0.9205993284827276,0.002807236431692991,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Iphiclides feisthamelii,35,0.19999998807907104,0.7071142196655273,2.75,0.3757345746510897,0.7071142312899614,1.2428571428574569,0.548707803819372,0.09664403822012269,Praillos,16_35,PRA (1894),PRA,1894
